"HID"	"X"	"Y"
44339	-0.900387	8.210093
44340	-0.517658	9.002252
44341	-0.133568	9.794465
44342	0.252283	10.586941
44343	0.640376	11.379944
44344	1.031317	12.173823
44345	1.425903	12.969042
44346	1.825227	13.766243
44417	-2.033676	5.299563
44418	-1.653158	6.091947
44419	-1.272358	6.883854
44420	-0.891032	7.675373
44421	-0.508916	8.466613
44422	-0.125716	9.257706
44423	0.258904	10.048813
44424	0.645335	10.840139
44425	1.034056	11.631948
44426	1.42567	12.424587
44427	1.820973	13.218528
44498	-2.023671	4.767502
44499	-1.643032	5.559526
44500	-1.262263	6.350968
44501	-0.881139	7.141902
44502	-0.499419	7.932416
44503	-0.116845	8.722615
44504	0.266875	9.512626
44505	0.652068	10.302609
44506	1.039123	11.092765
44507	1.428512	11.883355
44508	1.820832	12.674727
44509	2.21688	13.467354
44579	-1.632825	5.027918
44580	-1.251959	5.819019
44581	-0.870887	6.609509
44582	-0.489387	7.39946
44583	-0.107225	8.188958
44584	0.275858	8.978102
44585	0.660144	9.767018
44586	1.045958	10.55586
44587	1.433681	11.344825
44588	1.823777	12.134172
44589	2.216839	12.924246
44590	2.613659	13.715524
44661	-1.241572	5.287874
44662	-0.860427	6.078044
44663	-0.479	6.867574
44664	-0.097075	7.656534
44665	0.285583	8.445004
44666	0.669223	9.233082
44667	1.054126	10.020888
44668	1.440608	10.808572
44669	1.829043	11.596326
44670	2.219888	12.384405
44671	2.613727	13.173151
44743	-0.849883	5.547374
44744	-0.468407	6.336606
44745	-0.086574	7.125169
44746	0.295831	7.913128
44747	0.679034	8.700561
44748	1.063284	9.487561
44749	1.448853	10.274244
44750	1.836052	11.060753
44751	2.225247	11.847277
44752	2.616883	12.634064
44823	-0.83936	5.017383
44824	-0.45773	5.806423
44825	-0.075869	6.59471
44826	0.306424	7.382298
44827	0.689359	8.169249
44828	1.073162	8.955636
44829	1.458074	9.741548
44830	1.844361	10.527095
44831	2.232327	11.312415
44832	2.622328	12.097689
44833	3.014799	12.883159
44905	-0.447074	5.276908
44906	-0.065084	6.065026
44907	0.317215	6.852363
44908	0.700022	7.638971
44909	1.083543	8.424906
44910	1.467999	9.210239
44911	1.853626	9.995053
44912	2.240684	10.779452
44913	2.629469	11.563568
44914	3.020326	12.347575
44987	-0.054319	5.535997
44988	0.328085	6.323188
44989	0.710877	7.109571
44990	1.094251	7.895193
44991	1.478413	8.680107
44992	1.863577	9.464379
44993	2.249975	10.248087
44994	2.637859	11.031328
44995	3.027517	11.814227
44996	3.419282	12.596949
45068	0.338933	5.794657
45069	0.721806	6.580919
45070	1.105145	7.366343
45071	1.489144	8.150975
45072	1.874003	8.934864
45073	2.259932	9.718069
45074	2.647157	10.500664
45075	3.035924	11.282738
45076	3.42651	12.064409
45077	3.819238	12.845831
45150	0.732711	6.052895
45151	1.116108	6.838224
45152	1.500052	7.622688
45153	1.884732	8.406327
45154	2.270345	9.189187
45155	2.657097	9.971322
45156	3.045208	10.752799
45157	3.434917	11.5337
45158	3.826491	12.314134
45231	0.743511	5.525397
45232	1.127045	6.310718
45233	1.511023	7.095114
45234	1.895628	7.878617
45235	2.281047	8.661262
45236	2.667473	9.443091
45237	3.055108	10.224154
45238	3.444166	11.00451
45239	3.834878	11.784234
45240	4.227502	12.563424
45312	1.137874	5.783723
45313	1.521963	6.568137
45314	1.90658	7.351599
45315	2.291904	8.13414
45316	2.678122	8.915792
45317	3.065421	9.696592
45318	3.454001	10.476583
45319	3.844069	11.255818
45320	4.235849	12.034364
45321	4.629587	12.812307
45394	1.532795	6.041654
45395	1.917496	6.82516
45396	2.302809	7.607691
45397	2.688913	8.389273
45398	3.075989	9.169935
45399	3.464225	9.949707
45400	3.853813	10.72863
45401	4.244957	11.506747
45402	4.637872	12.284117
45403	5.032794	13.060815
45476	1.928302	6.299198
45477	2.313673	7.0818
45478	2.699742	7.863404
45479	3.086685	8.644031
45480	3.474683	9.423706
45481	3.863919	10.202458
45482	4.254582	10.980318
45483	4.64687	11.757325
45484	5.040991	12.533526
45557	2.324424	6.556367
45558	2.710524	7.33807
